KhetCode,KhetEng,KhetThai,KhwaengCode,KhwaengEng,KhwaengThai,Latitude,Longitude
01,Phra Nakhon,พระนคร,01,Phra Borom Maha Ratchawang,พระบรมมหาราชวัง,,
01,Phra Nakhon,พระนคร,02,Wang Burapha Phirom,วังบูรพาภิรมย์,,
01,Phra Nakhon,พระนคร,03,Wat Ratchabophit,วัดราชบพิธ,,
01,Phra Nakhon,พระนคร,04,Samran Rat,สำราญราษฎร์,,
01,Phra Nakhon,พระนคร,05,San Chaopho Suea,ศาลเจ้าพ่อเสือ,,
01,Phra Nakhon,พระนคร,06,Sao Chingcha,เสาชิงช้า,,
01,Phra Nakhon,พระนคร,07,Bowon Niwet,บวรนิเวศ,,
01,Phra Nakhon,พระนคร,08,Talat Yot,ตลาดยอด,,
01,Phra Nakhon,พระนคร,09,Chana Songkhram,ชนะสงคราม,,
01,Phra Nakhon,พระนคร,10,Ban Phan Thom,บ้านพานถม,,
01,Phra Nakhon,พระนคร,11,Bang Khun Phrom,บางขุนพรหม,,
01,Phra Nakhon,พระนคร,12,Wat Sam Phraya,วัดสามพระยา,,
02,Dusit,ดุสิต,01,Dusit,ดุสิต,,
02,Dusit,ดุสิต,02,Wachiraphayaban,วชิรพยาบาล,,
02,Dusit,ดุสิต,03,Suan Chitlada,สวนจิตรลดา,,
02,Dusit,ดุสิต,04,Si Yaek Maha Nak,สี่แยกมหานาค,,
02,Dusit,ดุสิต,06,Thanon Nakhon Chai Si,ถนนนครไชยศรี,,
03,Nong Chok,หนองจอก,01,Krathum Rai,กระทุ่มราย,,
03,Nong Chok,หนองจอก,02,Nong Chok,หนองจอก,,
03,Nong Chok,หนองจอก,03,Khlong Sip,คลองสิบ,,
03,Nong Chok,หนองจอก,04,Khlong Sip Song,คลองสิบสอง,,
03,Nong Chok,หนองจอก,05,Khok Faet,โคกแฝด,,
03,Nong Chok,หนองจอก,06,Khu Fang Nuea,คู้ฝั่งเหนือ,,
03,Nong Chok,หนองจอก,07,Lam Phak Chi,ลำผักชี,,
03,Nong Chok,หนองจอก,08,Lam Toiting,ลำต้อยติ่ง,,
04,Bang Rak,บางรัก,01,Maha Phruettharam,มหาพฤฒาราม,,
04,Bang Rak,บางรัก,02,Si Lom,สีลม,,
04,Bang Rak,บางรัก,03,Suriyawong,สุริยวงศ์,,
04,Bang Rak,บางรัก,04,Bang Rak,บางรัก,,
04,Bang Rak,บางรัก,05,Si Phraya,สี่พระยา,,
05,Bang Khen,บางเขน,02,Anusawari,อนุสาวรีย์,,
05,Bang Khen,บางเขน,08,Tha Raeng,ท่าแร้ง,,
06,Bang Kapi,บางกะปิ,01,Khlong Chan,คลองจั่น,,
06,Bang Kapi,บางกะปิ,08,Hua Mak,หัวหมาก,,
07,Pathum Wan,ปทุมวัน,01,Rong Mueang,รองเมือง,,
